,actual_15m
2025-10-25 11:45:00+00:00,5.0
2025-10-25 12:00:00+00:00,1.64
2025-10-25 12:15:00+00:00,2.92
2025-10-25 12:30:00+00:00,5.24
2025-10-25 12:45:00+00:00,7.04
2025-10-25 13:00:00+00:00,1.93
2025-10-25 13:15:00+00:00,5.08
2025-10-25 13:30:00+00:00,5.33
2025-10-25 13:45:00+00:00,4.7
2025-10-25 14:00:00+00:00,4.27
2025-10-25 14:15:00+00:00,5.51
2025-10-25 14:30:00+00:00,5.14
2025-10-25 14:45:00+00:00,9.46
2025-10-25 15:00:00+00:00,12.32
2025-10-25 15:15:00+00:00,27.36
2025-10-25 15:30:00+00:00,33.95
2025-10-25 15:45:00+00:00,76.3
2025-10-25 16:00:00+00:00,52.0
2025-10-25 16:15:00+00:00,55.73
2025-10-25 16:30:00+00:00,64.27
2025-10-25 16:45:00+00:00,80.0
2025-10-25 17:00:00+00:00,78.29
2025-10-25 17:15:00+00:00,79.11
2025-10-25 17:30:00+00:00,70.1
2025-10-25 17:45:00+00:00,60.1
2025-10-25 18:00:00+00:00,77.2
2025-10-25 18:15:00+00:00,60.1
2025-10-25 18:30:00+00:00,46.55
2025-10-25 18:45:00+00:00,34.95
2025-10-25 19:00:00+00:00,51.97
2025-10-25 19:15:00+00:00,47.26
2025-10-25 19:30:00+00:00,40.1
2025-10-25 19:45:00+00:00,33.07
2025-10-25 20:00:00+00:00,32.96
2025-10-25 20:15:00+00:00,30.13
2025-10-25 20:30:00+00:00,31.31
2025-10-25 20:45:00+00:00,29.07
2025-10-25 21:00:00+00:00,20.0
2025-10-25 21:15:00+00:00,8.72
2025-10-25 21:30:00+00:00,7.47
2025-10-25 21:45:00+00:00,4.57
2025-10-25 22:00:00+00:00,36.37
2025-10-25 22:15:00+00:00,14.57
2025-10-25 22:30:00+00:00,4.62
2025-10-25 22:45:00+00:00,4.43
2025-10-25 23:00:00+00:00,4.24
2025-10-25 23:15:00+00:00,3.98
2025-10-25 23:30:00+00:00,3.75
2025-10-25 23:45:00+00:00,3.27
2025-10-26 00:00:00+00:00,3.99
2025-10-26 00:15:00+00:00,3.33
2025-10-26 00:30:00+00:00,3.04
2025-10-26 00:45:00+00:00,2.4
2025-10-26 01:00:00+00:00,2.89
2025-10-26 01:15:00+00:00,2.5
2025-10-26 01:30:00+00:00,2.14
2025-10-26 01:45:00+00:00,0.64
2025-10-26 02:00:00+00:00,1.23
2025-10-26 02:15:00+00:00,0.1
2025-10-26 02:30:00+00:00,0.2
2025-10-26 02:45:00+00:00,0.14
2025-10-26 03:00:00+00:00,0.23
2025-10-26 03:15:00+00:00,0.13
2025-10-26 03:30:00+00:00,0.1
2025-10-26 03:45:00+00:00,0.01
2025-10-26 04:00:00+00:00,0.12
2025-10-26 04:15:00+00:00,0.1
2025-10-26 04:30:00+00:00,0.1
2025-10-26 04:45:00+00:00,0.1
2025-10-26 05:00:00+00:00,0.04
2025-10-26 05:15:00+00:00,0.07
2025-10-26 05:30:00+00:00,0.34
2025-10-26 05:45:00+00:00,0.15
2025-10-26 06:00:00+00:00,2.38
2025-10-26 06:15:00+00:00,2.3
2025-10-26 06:30:00+00:00,2.38
2025-10-26 06:45:00+00:00,2.51
2025-10-26 07:00:00+00:00,4.3
2025-10-26 07:15:00+00:00,4.42
2025-10-26 07:30:00+00:00,4.44
2025-10-26 07:45:00+00:00,4.17
2025-10-26 08:00:00+00:00,4.56
2025-10-26 08:15:00+00:00,4.05
2025-10-26 08:30:00+00:00,3.7
2025-10-26 08:45:00+00:00,3.3
2025-10-26 09:00:00+00:00,2.97
2025-10-26 09:15:00+00:00,1.0
2025-10-26 09:30:00+00:00,0.94
2025-10-26 09:45:00+00:00,1.81
2025-10-26 10:00:00+00:00,0.54
2025-10-26 10:15:00+00:00,0.43
2025-10-26 10:30:00+00:00,0.24
2025-10-26 10:45:00+00:00,0.11
2025-10-26 11:00:00+00:00,0.39
2025-10-26 11:15:00+00:00,0.32
2025-10-26 11:30:00+00:00,0.33
2025-10-26 11:45:00+00:00,0.33
2025-10-26 12:00:00+00:00,0.25
2025-10-26 12:15:00+00:00,0.3
2025-10-26 12:30:00+00:00,-0.17
2025-10-26 12:45:00+00:00,-0.1
2025-10-26 13:00:00+00:00,-0.06
2025-10-26 13:15:00+00:00,-1.03
2025-10-26 13:30:00+00:00,-1.04
2025-10-26 13:45:00+00:00,2.09
2025-10-26 14:00:00+00:00,-0.73
2025-10-26 14:15:00+00:00,0.31
2025-10-26 14:30:00+00:00,1.09
2025-10-26 14:45:00+00:00,12.33
2025-10-26 15:00:00+00:00,9.99
2025-10-26 15:15:00+00:00,20.01
2025-10-26 15:30:00+00:00,34.54
2025-10-26 15:45:00+00:00,47.33
2025-10-26 16:00:00+00:00,33.18
2025-10-26 16:15:00+00:00,44.29
2025-10-26 16:30:00+00:00,56.63
2025-10-26 16:45:00+00:00,85.14
2025-10-26 17:00:00+00:00,70.1
2025-10-26 17:15:00+00:00,95.03
2025-10-26 17:30:00+00:00,103.57
2025-10-26 17:45:00+00:00,89.68
2025-10-26 18:00:00+00:00,104.07
2025-10-26 18:15:00+00:00,71.81
2025-10-26 18:30:00+00:00,70.1
2025-10-26 18:45:00+00:00,54.15
2025-10-26 19:00:00+00:00,61.05
2025-10-26 19:15:00+00:00,47.96
2025-10-26 19:30:00+00:00,42.72
2025-10-26 19:45:00+00:00,37.12
2025-10-26 20:00:00+00:00,54.93
2025-10-26 20:15:00+00:00,50.04
2025-10-26 20:30:00+00:00,34.63
2025-10-26 20:45:00+00:00,20.0
2025-10-26 21:00:00+00:00,22.79
2025-10-26 21:15:00+00:00,19.59
2025-10-26 21:30:00+00:00,24.46
2025-10-26 21:45:00+00:00,12.76
2025-10-26 22:00:00+00:00,7.07
2025-10-26 22:15:00+00:00,9.13
2025-10-26 22:30:00+00:00,5.84
2025-10-26 22:45:00+00:00,3.7
2025-10-26 23:00:00+00:00,2.83
2025-10-26 23:15:00+00:00,1.77
2025-10-26 23:30:00+00:00,-0.35
2025-10-26 23:45:00+00:00,-0.38
2025-10-27 00:00:00+00:00,2.85
2025-10-27 00:15:00+00:00,0.29
2025-10-27 00:30:00+00:00,0.24
2025-10-27 00:45:00+00:00,0.26
2025-10-27 01:00:00+00:00,1.1
2025-10-27 01:15:00+00:00,1.43
2025-10-27 01:30:00+00:00,-0.57
2025-10-27 01:45:00+00:00,-2.0
2025-10-27 02:00:00+00:00,-0.37
2025-10-27 02:15:00+00:00,-0.43
2025-10-27 02:30:00+00:00,-0.45
2025-10-27 02:45:00+00:00,-0.45
2025-10-27 03:00:00+00:00,-0.48
2025-10-27 03:15:00+00:00,-1.49
2025-10-27 03:30:00+00:00,-0.6
2025-10-27 03:45:00+00:00,-0.7
2025-10-27 04:00:00+00:00,3.67
2025-10-27 04:15:00+00:00,0.61
2025-10-27 04:30:00+00:00,5.49
2025-10-27 04:45:00+00:00,17.47
2025-10-27 05:00:00+00:00,11.65
2025-10-27 05:15:00+00:00,30.58
2025-10-27 05:30:00+00:00,61.34
2025-10-27 05:45:00+00:00,91.79
2025-10-27 06:00:00+00:00,70.63
2025-10-27 06:15:00+00:00,85.5
2025-10-27 06:30:00+00:00,84.49
2025-10-27 06:45:00+00:00,83.22
2025-10-27 07:00:00+00:00,94.68
2025-10-27 07:15:00+00:00,94.39
2025-10-27 07:30:00+00:00,97.14
2025-10-27 07:45:00+00:00,90.29
2025-10-27 08:00:00+00:00,102.27
2025-10-27 08:15:00+00:00,100.38
2025-10-27 08:30:00+00:00,96.08
2025-10-27 08:45:00+00:00,80.79
2025-10-27 09:00:00+00:00,98.84
2025-10-27 09:15:00+00:00,91.77
2025-10-27 09:30:00+00:00,85.35
2025-10-27 09:45:00+00:00,78.46
2025-10-27 10:00:00+00:00,88.68
2025-10-27 10:15:00+00:00,86.4
2025-10-27 10:30:00+00:00,82.05
2025-10-27 10:45:00+00:00,78.27
2025-10-27 11:00:00+00:00,79.65
2025-10-27 11:15:00+00:00,70.72
2025-10-27 11:30:00+00:00,71.61
2025-10-27 11:45:00+00:00,71.2
2025-10-27 12:00:00+00:00,71.71
2025-10-27 12:15:00+00:00,70.85
2025-10-27 12:30:00+00:00,69.23
2025-10-27 12:45:00+00:00,68.21
2025-10-27 13:00:00+00:00,67.65
2025-10-27 13:15:00+00:00,67.69
2025-10-27 13:30:00+00:00,71.67
2025-10-27 13:45:00+00:00,78.99
2025-10-27 14:00:00+00:00,66.61
2025-10-27 14:15:00+00:00,68.18
2025-10-27 14:30:00+00:00,81.59
2025-10-27 14:45:00+00:00,93.52
2025-10-27 15:00:00+00:00,81.47
2025-10-27 15:15:00+00:00,90.05
2025-10-27 15:30:00+00:00,100.1
2025-10-27 15:45:00+00:00,129.11
2025-10-27 16:00:00+00:00,93.71
2025-10-27 16:15:00+00:00,103.71
2025-10-27 16:30:00+00:00,116.28
2025-10-27 16:45:00+00:00,125.58
2025-10-27 17:00:00+00:00,115.24
2025-10-27 17:15:00+00:00,120.57
2025-10-27 17:30:00+00:00,136.89
2025-10-27 17:45:00+00:00,136.28
2025-10-27 18:00:00+00:00,137.16
2025-10-27 18:15:00+00:00,124.95
2025-10-27 18:30:00+00:00,112.32
2025-10-27 18:45:00+00:00,104.33
2025-10-27 19:00:00+00:00,106.94
2025-10-27 19:15:00+00:00,108.95
2025-10-27 19:30:00+00:00,92.98
2025-10-27 19:45:00+00:00,75.46
2025-10-27 20:00:00+00:00,116.2
2025-10-27 20:15:00+00:00,88.27
2025-10-27 20:30:00+00:00,76.97
2025-10-27 20:45:00+00:00,78.57
2025-10-27 21:00:00+00:00,113.0
2025-10-27 21:15:00+00:00,86.16
2025-10-27 21:30:00+00:00,85.38
2025-10-27 21:45:00+00:00,73.11
2025-10-27 22:00:00+00:00,80.1
2025-10-27 22:15:00+00:00,76.03
2025-10-27 22:30:00+00:00,80.0
2025-10-27 22:45:00+00:00,80.0
2025-10-27 23:00:00+00:00,77.0
2025-10-27 23:15:00+00:00,55.1
2025-10-27 23:30:00+00:00,51.82
2025-10-27 23:45:00+00:00,42.6
2025-10-28 00:00:00+00:00,42.59
2025-10-28 00:15:00+00:00,29.0
2025-10-28 00:30:00+00:00,26.18
2025-10-28 00:45:00+00:00,19.75
2025-10-28 01:00:00+00:00,25.0
2025-10-28 01:15:00+00:00,18.31
2025-10-28 01:30:00+00:00,17.68
2025-10-28 01:45:00+00:00,16.23
2025-10-28 02:00:00+00:00,12.6
